ID,logFC,logCPM,LR,PValue,FDR
ENSMUSG00000022749,-0.153576047,1.928690131,0.456398279,0.49931207,0.769735207
ENSMUSG00000022841,0.087997716,5.612636903,0.456388368,0.499316729,0.769735207
ENSMUSG00000047228,0.283255019,0.366574571,0.456372545,0.499324167,0.769735207
ENSMUSG00000020599,-0.236336158,-0.413656778,0.456246147,0.499383587,0.769763778
ENSMUSG00000025287,0.190721348,0.13093508,0.456023239,0.499488406,0.769862318
ENSMUSG00000021361,-0.10210055,4.829250983,0.455637971,0.49966966,0.770053669
ENSMUSG00000026698,0.106181449,2.550575993,0.455585494,0.499694358,0.770053669
ENSMUSG00000026605,-0.197433032,0.357284557,0.455478724,0.499744613,0.770068082
ENSMUSG00000075015,0.643995773,0.488901779,0.455367988,0.499796744,0.770085384
ENSMUSG00000041241,0.084396953,4.111766986,0.454498908,0.500206201,0.770622957
ENSMUSG00000024082,0.122398664,2.282118354,0.454376674,0.500263836,0.770622957
ENSMUSG00000039087,0.100108759,4.48078749,0.454366926,0.500268433,0.770622957
ENSMUSG00000002058,-0.251214459,0.34205716,0.454253841,0.500321765,0.770642057
ENSMUSG00000107026,0.242995372,-0.728375534,0.454166718,0.50036286,0.770642307
ENSMUSG00000097811,-0.222518793,-0.380871912,0.453649543,0.50060692,0.770955132
ENSMUSG00000089991,-0.108614265,7.965858472,0.453492785,0.500680936,0.771006052
ENSMUSG00000029635,-0.085510697,3.488120114,0.453386893,0.500730946,0.771019998
ENSMUSG00000102748,-0.286786202,-1.011250413,0.453123577,0.500855338,0.771148466
ENSMUSG00000085457,-0.294964854,-1.250891607,0.45280993,0.501003575,0.771275527
ENSMUSG00000099313,-0.139955142,1.308036863,0.452722215,0.501045045,0.771275527
ENSMUSG00000020766,-0.111378999,3.904728482,0.452407191,0.501194029,0.771275527
ENSMUSG00000044309,-0.139663779,1.717421664,0.452391478,0.501201462,0.771275527
ENSMUSG00000050619,-0.092960851,3.348122813,0.452357868,0.501217362,0.771275527
ENSMUSG00000056234,-0.141684791,7.160246168,0.452260966,0.501263209,0.771275527
ENSMUSG00000071337,0.126590934,2.158683107,0.452257815,0.5012647,0.771275527
ENSMUSG00000070730,0.088798647,4.347473467,0.452255923,0.501265595,0.771275527
ENSMUSG00000000560,-0.145672377,2.270053459,0.451942892,0.501413747,0.771440436
ENSMUSG00000026869,0.08974599,3.981020536,0.451663237,0.501546166,0.771531657
ENSMUSG00000098204,0.271776337,-0.734704974,0.451624013,0.501564744,0.771531657
ENSMUSG00000030432,0.110372406,4.786248153,0.45145523,0.501644698,0.771531657
ENSMUSG00000033174,0.172062723,6.617700569,0.451406281,0.501667889,0.771531657
ENSMUSG00000013878,-0.121937707,3.419332987,0.451345961,0.501696471,0.771531657
ENSMUSG00000001520,0.355677742,-1.317816843,0.451298591,0.501718918,0.771531657
ENSMUSG00000035247,-0.116689333,7.532877194,0.450985435,0.501867358,0.771696892
ENSMUSG00000002111,0.183681816,0.113034098,0.450710099,0.501997933,0.771779115
ENSMUSG00000032243,0.234150942,-0.830956459,0.450605322,0.502047637,0.771779115
ENSMUSG00000032393,-0.085284989,4.914374408,0.45058389,0.502057805,0.771779115
ENSMUSG00000001248,0.124131961,1.657524547,0.450520986,0.50208765,0.771779115
ENSMUSG00000106044,0.11960916,6.435572708,0.450440595,0.502125797,0.771779115
ENSMUSG00000062518,-0.356147127,-0.399732909,0.450226174,0.502227568,0.771842958
ENSMUSG00000032666,-0.137051445,1.158198414,0.450180338,0.502249327,0.771842958
ENSMUSG00000045467,-0.386144303,-1.664501359,0.449897037,0.502383854,0.771986681
ENSMUSG00000037486,0.086232116,3.989839191,0.449780496,0.502439212,0.772008736
ENSMUSG00000028706,0.118631142,2.67593076,0.449627657,0.502511827,0.772057302
ENSMUSG00000110163,0.203762866,-0.252825723,0.449485771,0.502579255,0.772097889
ENSMUSG00000031445,-0.111354788,7.381995694,0.449151737,0.502738057,0.772278834
ENSMUSG00000092500,-0.145088343,4.256111772,0.448872367,0.502870936,0.772391196
