"","C1","C2","C3","C4","C5","R2","R3","R4","R5"
"ENSMUSG00000093674",80.53993,82.10771,80.71462,81.09349,81.01251,80.38882,74.39369,79.87974,79.32536
"ENSMUSG00000093684",1.160505,1.513506,1.349301,1.240558,0.9243145,1.396697,1.337847,1.615284,1.190767
"ENSMUSG00000093686",5.94693,2.884495,2.768891,2.692704,2.618754,3.187655,2.504738,2.957175,3.139278
"ENSMUSG00000093732",0.4334253,0.4185706,0.2224906,0.08870055,0.1445337,0.5444015,0.2994138,0.06586627,0.1180237
"ENSMUSG00000093749",0.209145,0.2580728,0.219933,0.1878049,0.1803524,0.2465645,0.2120378,0.3886742,0.1641037
"ENSMUSG00000093751",2.38857,2.244321,2.235994,2.305828,1.837827,2.020955,2.392794,1.968369,2.364273
"ENSMUSG00000093760",6.412796,8.56734,8.135003,6.751549,6.53052,8.566563,7.288169,7.661454,6.22702
"ENSMUSG00000093796",4.863806,4.822262,4.703251,5.190099,5.352404,5.22414,4.735706,5.081867,5.602552
"ENSMUSG00000093798",311.6477,560.1028,732.1407,494.0032,355.3068,589.9295,753.9231,752.9938,304.3299
"ENSMUSG00000093800",3.306629,3.185175,4.03571,4.422075,3.493162,3.072412,3.790632,3.428408,3.500394
"ENSMUSG00000093803",2.544255,2.572582,3.205336,2.562711,2.564449,2.856363,3.122982,2.921555,2.9439
"ENSMUSG00000093815",997.9068,1936.727,1305.835,972.8689,1434.315,1753.803,1002.932,2147.492,1077.569
"ENSMUSG00000093816",18.49685,17.02121,17.58411,21.10898,19.65505,18.9982,16.72949,17.85056,20.34714
"ENSMUSG00000093826",1.282648,1.311116,1.641559,1.09348,0.9331952,1.484657,1.817203,1.250554,1.002715
"ENSMUSG00000093834",758.1302,1436.21,1017.306,760.8439,1111.147,1320.739,799.5316,1601.014,824.3159
"ENSMUSG00000093839",0.2497699,0.2959859,0.4367664,0.2655167,0.4495745,0.4304781,0.266366,0.3068977,0.3947348
"ENSMUSG00000093843",130.3433,201.1567,132.2558,90.43772,120.6568,188.0599,108.0414,216.1045,91.15684
"ENSMUSG00000093847",1.379071,1.418,1.60956,1.799464,2.096885,1.935908,1.674994,1.722988,1.265199
"ENSMUSG00000093849",0.7828909,1.212481,1.015629,1.29066,1.21592,0.927731,0.9047046,0.8616382,1.160781
"ENSMUSG00000093852",0.5956174,0.431805,1.162652,0.6769369,0.4954752,1.037705,0.9279368,0.7089657,0.6126026
"ENSMUSG00000093859",0.1537174,0.2703257,0.3631505,0.259077,0.234822,0.2311897,0.2690048,0.4704761,0.198781
"ENSMUSG00000093862",0.672726,0.6538076,0.7024791,0.8780902,0.7101331,0.4532991,0.8517093,0.689138,0.859801
"ENSMUSG00000093866",2.890436,3.286277,3.56104,2.820981,2.810911,3.510144,3.222364,3.103696,2.967223
"ENSMUSG00000093873",0.879685,1.132333,0.6948034,0.6059163,0.8894729,1.35401,0.6142109,1.17593,0.4931843
"ENSMUSG00000093874",0.6426478,0.9169314,0.7037265,0.6280501,0.4934136,0.6174064,0.4279884,0.924285,0.7039377
"ENSMUSG00000093880",0.4195044,0.4083862,0.3436584,0.3277268,0.3321311,0.4501518,0.6615445,0.4913234,0.5356293
"ENSMUSG00000093885",23.97141,22.02446,22.09387,23.0756,23.49172,23.6555,21.2319,22.18723,22.63021
"ENSMUSG00000093886",0.8162807,1.304685,1.175239,0.8820388,0.7671508,0.8531447,0.9643662,1.247732,0.9290869
"ENSMUSG00000093887",1.553216,1.747615,2.655058,1.580928,1.732338,1.480561,2.051322,1.979126,2.150668
"ENSMUSG00000093893",0.9362495,0.9873492,2.016615,1.218929,0.6639703,1.558729,1.640695,0.8027268,0.8638017
"ENSMUSG00000093897",0.9832286,1.114522,1.048451,0.8546102,0.8859479,1.163936,0.7525367,1.2412,0.9673303
